Row Labels,Count of ALL,HMDB Class,HMDB Class 2,Note
2DG(16:0/16:0/0:0)[rac],1,,,
"2DG(18:2(9Z, 12Z)/20:4(5Z, 8",1,,,
2-Ethylacrylic acid,1,,,
2-Hydroxyadenine,1,,,
2-Hydroxybutyric acid,1,,,
2-Hydroxycaprylic acid,1,,,
2'-Hydroxynicotine,1,,,
2-Keto-3-deoxy-D-gluconic ac,1,,,
2-Methoxyestradiol-3-methyle,1,,,
2-Methoxyestrone 3-glucuroni,1,,,
2-Methyl-3-hydroxybutanoic,1,,,
2-Methylacetoacetic acid2TM,1,,,
2-Methylbenzoic acid,1,,,
2-Methylbutyroylcarnitine2T,1,,,
2-Methylguanosine,1,,,
2-Oxohexane,1,,,
2-Pyrocatechuic acid,1,,,
3 hydroxycoumarin,1,,,
3-(3-hydroxyphenyl)-3-hydrox,1,,,
3-(3-Hydroxyphenyl)propanoic acid,1,,,
"3, 4-Dihydroxybutyric ac",1,,,
"3, 4-Dihydroxyhydrocinnamic",1,,,
"3, 4-Dihydroxyphenylglycol2",1,,,
"3a, 12b-Dihydroxy-5b-cholano",1,,,
"3a, 7a-Dihydroxycholanoic ac",1,,,
"3alpha, 7alpha, 12alpha-Trih",1,,,
"3alpha, 7alpha-Dihydroxy-5be",1,,,
"3b, 12a-Dihydroxy-5a-cholano",1,,,
"3b, 12a-Dihydroxy-5b-cholano",1,,,
"3b, 12b-Dihydroxy-5b-cholano",1,,,
"3b, 7a-Dihydroxy-5b-cholanoi",1,,,
3b-Allotetrahydrocortisol3T,1,,,
3-Deoxyarabinohexonic acid2,1,,,
3-Hexanone,1,,,
3-Hydroxyanthranilic acid,1,,,
3-Hydroxyanthranilic acidM,1,,,
3-Hydroxybenzoic acid,1,,,
3-Hydroxybutyric acid,1,,,
3-Hydroxydodecanedioic acid,1,,,
3-Hydroxydodecanoic acid,1,,,
3-Hydroxydodecanoic acid2TM,1,,,
3-Hydroxyisoheptanoic acid,1,,,
"3-Hydroxy-N6, N6, N6-trimeth",1,,,
3-hydroxyoctanoic acid,1,,,
3-Hydroxyquinine,1,,,
3-Hydroxytetradecanedioic acid,1,,,
3-Indoleacetonitrile,1,,,
3-Keto-b-D-galactose,1,,,
3-Methoxy-4-hydroxyphenylgly,1,,,
3-Methoxytyrosine,1,,,
3-Methylbutyrolactone,1,,,
3-Methylhistidine,1,,,
3-Methylthiopropionic acid,1,,,
3'-O-Methylguanosine,1,,,
3-Sialyllactose,1,,,
3-Sulfodeoxycholic acid,1,,,
"4, 4-Dimethyl-14a-formyl-5a-",1,,,
"4a-Formyl-5a-cholesta-8, 24",1,,,
"4a-Formyl-5a-cholesta-8, 24-",1,,,
"4a-Methyl-5a-cholesta-8, 24-",1,,,
4b-Hydroxystanozolol,1,,,
4-Deoxyerythronic acid,1,,,
4-Deoxythreonic acid,1,,,
4-Hydroxybenzoic acid,1,,,
4-Hydroxybutyric acid,1,,,
4-Hydroxycalcitriol,1,,,
4-Hydroxycyclohexylcarboxyl,1,,,
4-Hydroxyretinoic acid,1,,,
4-Imidazolone-5-propionic ac,1,,,
4-Methoxycinnamic acid,1,,,
4-Methylpentanal,1,,,
4-Oxo-4-(3-pyridyl)-butanami,1,,,
4-Trimethylammoniobutanal,1,,,
"5, 6-Dihydrouridine",1,,,
5alpha-Dihydrotestosterone g,1,,,
5-Aminoimidazole-4-carboxami,1,,,
5a-Tetrahydrocortisol,1,,,
5-Hydroxydopamine,1,,,
5-Hydroxylysine,1,,,
5-Hydroxymethyl-4-methylurac,1,,,
5-Hydroxyvitamin D2,1,,,
5-Methoxydimethyltryptamine,1,,,
5-Methoxytryptamine,1,,,
5-Methyldeoxycytidine,1,,,
5-Phenylvaleric acid,1,,,
"6, 15-diketo, 13, 14-dihydro",1,,,
6b-Hydroxymethandienone,1,,,
6-Hydroxydopamine,1,,,
6-Ketoprostaglandin E1,1,,,
6-Sialyllactose,1,,,
"7, 7', 8, 8', 11, 12, -octah",1,,,
"7a, 12a-Dihydroxy-3-oxo-4-ch",1,,,
"7a, 12b-dihydroxy-5b-Cholan-",1,,,
7a-hydroxy-5b-cholanic acid,1,,,
"7-alpha, 25-Dihydroxycholest",1,,,
"7-alpha, 27-Dihydroxycholest",1,,,
"7beta, 12alpha-Dihydroxychol",1,,,
7-Hydroxyoctanoic acid,1,,,
7-Methylhypoxanthine,1,,,
"7-nor-5b-cholestane-3a, 7a,",1,,,
8-Hydroxy-7-methylguanine2T,1,,,
8-Hydroxy-7-methylguanine3,1,,,
8-Hydroxy-7-methylguanineM,1,,,
8-Hydroxyadenine,1,,,
8-iso-15-keto-PGE2,1,,,
"9, 10-DHOME",1,,,
"a, b-dihydroxyisobutyric aci",1,,,
Acetylcysteine,1,,,
Adenosine,1,,,
Adenosine phosphosulfate,1,,,
ADPribose 2'-phosphate,1,,,
a-Hydroxyisobutyric acid,1,,,
Allochenodeoxycholic acid3,1,,,
Allodeoxycholic acid,1,,,
Allolithocholic acid,1,,,
Allose,1,,,
Allyl isothiocyanate,1,,,
alpha-D-Glucose,1,,,
alpha-linolenyl carnitine,1,,,
alpha-linolenyl carnitine3T,1,,,
Aminopterin,1,,,
Amlodipine,1,,,
Amylose,1,,,
Anandamide,1,,,
Androsterone glucuronide,1,,,
Aniline,1,,,
Aspartame,1,,,
Aspartylglycosamine,1,,,
Atenolol,1,,,
b-Carotene,1,,,
Benzeneacetic acid,1,,,
Benzoquinoneacetic acid,1,,,
beta-D-Galactose,1,,,
beta-D-Glucose,1,,,
Bilirubin,1,,,
Biotin amide,1,,,
Bisnorbiotin,1,,,
Bisnorcholic acid,1,,,
BOX A,1,,,
BOX B,1,,,
Butanal,1,,,
Campesterol,1,,,
Canavanine,1,,,
Capsidiol,1,,,
Carnosine,1,,,
CDP-glucose,1,,,
Ceramide (d18:1/18:0),1,,,
Ceramide (d18:1/22:0),1,,,
Ceramide (d18:1/9Z-18:1),1,,,
Cetoleic acid,1,,,
Chalcone,1,,,
Chenodeoxycholic acid,1,,,
Chitin,1,,,
Chloric acid,1,,,
Chloride,1,,,
Chlorpheniramine,1,,,
Cholest-5-ene,1,,,
Cholesterol sulfate,1,,,
Cholesteryl decanoate,1,,,
Cholesteryl lauric acid,1,,,
Cholesteryl palmitoleate,1,,,
cis-13-retinal,1,,,
cis-4-Decenoic acid,1,,,
cis-4-Hydroxycyclohexylacet,1,,,
cis-9-retinal,1,,,
clupanodonic acid,1,,,
Coprocholic acid,1,,,
Coproporphyrin I,1,,,
Coproporphyrin II,1,,,
Coproporphyrin III,1,,,
Coproporphyrin IV,1,,,
Corrinoid,1,,,
Cortolone,1,,,
Cyclohexanone,1,,,
Cysteinylglycine,1,,,
Cytidine diphosphocholine2T,1,,,
D-Alanyl-D-alanine,1,,,
D-Aspartatic acid,1,,,
Deoxycholic acid,1,,,
Deoxycholic acid 3-glucuron,1,,,
Deoxycholic acid disulfate,1,,,
Deoxyguanosine,1,,,
Deoxypyridinoline,1,,,
Deoxyuridine triphosphate2T,1,,,
Deuteroporphyrin IX,1,,,
Dextromethorphan,1,,,
D-Fructose,1,,,
DG(16:0/16:0/0:0)[rac],1,,,
"DG(16:0/20:4(5Z, 8Z, 11Z, 14",1,,,
DG(16:1(9Z)/16:1(9Z)/0:0)3,1,,,
"DG(18:2(9Z, 12Z)/18:2(9Z, 12",1,,,
"DG(18:2(9Z, 12Z)/20:4(5Z, 8Z",1,,,
D-Galactose,1,,,
D-Glucose,1,,,
Dihydrofolate,1,,,
Dihydroneopterin triphosphat,1,,,
Dihydroxyfumarate,1,,,
Dimethyldisulfide,1,,,
Dimyristoylphosphatidylethan,1,,,
Dioleoylphosphatidic acid,1,,,
Diphenhydramine,1,,,
D-Mannose,1,,,
"docosa-4, 7, 10, 13, 16-pent",1,,,
Dodecanedioic acid,1,,,
D-Pantethine,1,,,
D-Tagatose,1,,,
D-Urobilin,1,,,
"e, e-Carotene-3, 3'-dione3",1,,,
"e, e-Carotene-3, 3'-dioneM",1,,,
Eganoprost,1,,,
Endomorphin-1,1,,,
Endomorphin-2,1,,,
epi-inositol,1,,,
epsilon-(gamma-Glutamyl)-ly,1,,,
Ergocalciferol,1,,,
Ergosterol,1,,,
Erucic acid,1,,,
Erythrodiol,1,,,
Erythrose,1,,,
Estradiol,1,,,
estradiol glucuronide,1,,,
Ethenodeoxyadenosine,1,,,
Etiocholan-3alpha-ol-17-one,1,,,
Fentanyl,1,,,
Folic acid,1,,,
Formebolone,1,,,
Galactan,1,,,
Galactitol,1,,,
Galactonolactone,1,,,
gamma glutamyl ornithine2TM,1,,,
gamma-linolenyl carnitine,1,,,
gamma-linolenyl carnitine3T,1,,,
GDP-glucose,1,,,
Gentisate aldehyde,1,,,
Gentisic acid,1,,,
Gluconolactone,1,,,
Glucosamine 6-phosphate,1,,,
Glucosamine 6-sulfate,1,,,
Glucosamine-1P,1,,,
Glucosylgalactosyl hydroxyly,1,,,
Glutamylphenylalanine,1,,,
Glycolic acid,1,,,
Glyoxylic acid,1,,,
Guanine,1,,,
Guanosine diphosphate mannos,1,,,
Hematoporphyrin IX,1,,,
Hexanal,1,,,
Homoanserine,1,,,
Homovanillic acid,1,,,
Hyaluronic acid,1,,,
Hydroquinone,1,,,
Hydroxyoctanoic acid,1,,,
Hydroxyphenyllactic acid,1,,,
Hydroxytyrosol,1,,,
Hyodeoxycholic acid,1,,,
Hypochlorite,1,,,
Imidazolelactic acid,1,,,
Imipramine,1,,,
Indole-3-carbinol,1,,,
Isoacitretin,1,,,
Isoallolithocholic acid,1,,,
Isocoproporphyrin,1,,,
Isodeoxycholic acid,1,,,
Isohomovanillic acid,1,,,
Isohyodeoxycholic acid,1,,,
Isolithocholic acid,1,,,
Isopropyl ethyl ketone,1,,,
Isopyridoxal,1,,,
Isoursodeoxycholic acid,1,,,
Isovalerylcarnitine,1,,,
Lacto-N-triaose,1,,,
Lactosamine,1,,,
L-Aspartic acid,1,,,
L-Aspartyl-L-phenylalanine2,1,,,
L-Erythrulose,1,,,
Levofloxacin,1,,,
L-Gulonolactone,1,,,
Linoleyl carnitine,1,,,
Lithocholate 3-O-glucuronide,1,,,
Lithocholic acid,1,,,
L-Kynurenine,1,,,
L-Methionine,1,,,
Loratadine,1,,,
L-Sorbose,1,,,
Lutein,1,,,
Mannitol,1,,,
Maslinic acid,1,,,
Medroxyprogesterone,1,,,
Methane,1,,,
Methanethiol,1,,,
Methyl isobutyl ketone,1,,,
Methylguanidine,1,,,
Mevalonic acid,1,,,
Morphinone,1,,,
Murocholic acid,1,,,
Myoinositol,1,,,
N(6)-Methyllysine,1,,,
N10-Formyl-THF,1,,,
N1-Acetylspermidine,1,,,
"N2, N2-Dimethylguanosine",1,,,
N5-Formyl-H4F,1,,,
N8-Acetylspermidine,1,,,
N-Acetyl-a-neuraminic acid3,1,,,
N-Acetyl-b-glucosaminylamin,1,,,
N-Acetyl-D-glucosaminyldipho,1,,,
N-Acetylneuraminic acid,1,,,
N-alpha-Acetyl-L-arginineM,1,,,
Nervonic acid,1,,,
Neuraminic acid,1,,,
N'-Formylkynurenine,1,,,
N-Formyl-L-glutamate,1,,,
Nickel,1,,,
Nicotine-1'-N-oxide,1,,,
Nicotinuric acid,1,,,
Nitrite,1,,,
Nitrogen,1,,,
Nivalenol,1,,,
N-Methylphenylethanolamine,1,,,
N-Methylserotonin,1,,,
N-Methyltyramine,1,,,
Nonacosanoic acid,1,,,
Nonadecanoic acid,1,,,
Norcotinine,1,,,
Norepinephrine,1,,,
Norophthalmic acid,1,,,
N-Phenylacetylphenylalanine,1,,,
N-Stearoylsphingosine,1,,,
Obtusifoliol,1,,,
Octacosanoic acid,1,,,
Octadecanedioic acid,1,,,
Octadecanol,1,,,
Oenanthic ether,1,,,
Oleoyl lysophosphatidylcholi,1,,,
Oxoglutaric acid,1,,,
Palmitic acid,1,,,
Pantothenic acid,1,,,
Paraxanthine,1,,,
Pelargonic acid,1,,,
Pentaporphyrin I,1,,,
Pentosidine,1,,,
Phenyl acetate,1,,,
Phenylpropanolamine,1,,,
Phthalic acid,1,,,
Phytosphingosine,1,,,
Porphobilinogen,1,,,
Pristanic acid,1,,,
Prostaglandin D3,1,,,
Prostaglandin E3,1,,,
Prostaglandin G2,1,,,
Protocatechuic acid,1,,,
Pseudooxynicotine,1,,,
Pteroyl-D-glutamic acid,1,,,
Purine,1,,,
Pyridoxal,1,,,
Pyridoxine,1,,,
Pyrocatechol,1,,,
Pyrrole-2-carboxylic acid,1,,,
Pyrrolidonecarboxylic acid,1,,,
QH2,1,,,
Quinic acid,1,,,
Quinone,1,,,
Reticuline,1,,,
Retinal,1,,,
Retinoyl beta-glucuronide2T,1,,,
Retinoyl beta-glucuronideM,1,,,
S-(2-carboxypropyl)-Cysteami,1,,,
S-Acetyldihydrolipoamide,1,,,
S-Acetyldihydrolipoamide2TM,1,,,
S-Adenosylmethionine,1,,,
Safrole,1,,,
Salicylic acid,1,,,
S-aminomethyldihydrolipoamid,1,,,
Sebacic acid,1,,,
Senecioic acid,1,,,
Simvastatin,1,,,
Sorbitol,1,,,
Stearic acid,1,,,
stearidonic acid C18:4,1,,,
Taurallocholic acid,1,,,
Tauro-b-muricholic acid,1,,,
Taurocholic acid,1,,,
Taurocyamine,1,,,
Tauroursocholic acid,1,,,
Temurin,1,,,
Terephthalic acid,1,,,
Testosterone enanthate,1,,,
tetracosatetraenoic acid n-6,1,,,
Tetrahydrocortisol,1,,,
Tetrahydrofuran,1,,,
Theobromine,1,,,
Theophylline,1,,,
Thiamine,1,,,
Thiamine pyrophosphate,1,,,
Thiocyanate,1,,,
Thromboxane B3,1,,,
Thymidine,1,,,
Tiglic acid,1,,,
Tiglylcarnitine,1,,,
trans-4-Decenoic acid,1,,,
trans-4-Hydroxycyclohexylac,1,,,
Trehalose 6-phosphate,1,,,
Tridemorph,1,,,
Tuberculostearic acid,1,,,
Ursodeoxycholic acid,1,,,
Uvaol,1,,,
Valdecoxib,1,,,
Verapamil,1,,,
Zeaxanthin,1,,,
Zolpidem,1,,,
